size,time,top_individuals,crossover,mutation_rate,board_size
168,0.01039837121963501,7,permutations,0.08,4
112,0.01571056604385376,7,combinations_with_rep,0.08,4
196,0.013557286262512206,7,product,0.09,4
168,0.01375091552734375,7,permutations,0.09,4
112,0.011250736713409424,7,combinations_with_rep,0.09,4
196,0.008366529941558837,7,product,0.1,4
168,0.008594319820404053,7,permutations,0.1,4
112,0.011334459781646728,7,combinations_with_rep,0.1,4
168,0.008125548362731933,7,permutations,0.14,4
112,0.008400685787200927,7,combinations_with_rep,0.14,4
196,0.008438055515289306,7,product,0.15000000000000002,4
168,0.008438060283660889,7,permutations,0.15000000000000002,4
112,0.008594317436218262,7,combinations_with_rep,0.15000000000000002,4
196,0.00805401086807251,7,product,0.16,4
168,0.007656764984130859,7,permutations,0.16,4
112,0.009146809577941895,7,combinations_with_rep,0.16,4
196,0.007500495910644531,7,product,0.16999999999999998,4
168,0.00602222204208374,7,permutations,0.16999999999999998,4
120,0.006094157695770264,6,permutations,0.25,4
84,0.007187972068786621,6,combinations_with_rep,0.25,4
196,0.016194062232971193,7,product,0.05,4
168,0.013836092948913574,7,permutations,0.05,4
112,0.025517609119415283,7,combinations_with_rep,0.05,4
196,0.01093822717666626,7,product,0.060000000000000005,4
168,0.015982916355133058,7,permutations,0.060000000000000005,4
112,0.014885096549987794,7,combinations_with_rep,0.060000000000000005,4
196,0.013522109985351562,7,product,0.07,4
168,0.011335067749023438,7,permutations,0.07,4
196,0.007187979221343994,7,product,0.11,4
168,0.010432078838348388,7,permutations,0.11,4
112,0.010938220024108887,7,combinations_with_rep,0.11,4
196,0.009063098430633545,7,product,0.12000000000000001,4
168,0.007344236373901367,7,permutations,0.12000000000000001,4
112,0.009147830009460449,7,combinations_with_rep,0.12000000000000001,4
196,0.008125548362731933,7,product,0.13,4
168,0.008990547657012939,7,permutations,0.13,4
112,0.00890683650970459,7,combinations_with_rep,0.13,4
196,0.007897346019744874,7,product,0.14,4
112,0.009338254928588868,7,combinations_with_rep,0.16999999999999998,4
196,0.00890683889389038,7,product,0.18,4
168,0.008125548362731933,7,permutations,0.18,4
112,0.00796926736831665,7,combinations_with_rep,0.18,4
196,0.007428970336914063,7,product,0.19,4
168,0.007031714916229248,7,permutations,0.19,4
112,0.006959154605865479,7,combinations_with_rep,0.19,4
196,0.008281810283660889,7,product,0.2,4
168,0.007584829330444336,7,permutations,0.2,4
112,0.007187972068786621,7,combinations_with_rep,0.2,4
196,0.008244428634643555,7,product,0.21000000000000002,4
168,0.006875455379486084,7,permutations,0.21000000000000002,4
112,0.007031714916229248,7,combinations_with_rep,0.21000000000000002,4
196,0.007187974452972412,7,product,0.22000000000000003,4
168,0.007116456031799317,7,permutations,0.22000000000000003,4
112,0.00828179121017456,7,combinations_with_rep,0.22000000000000003,4
196,0.007896733283996583,7,product,0.22999999999999998,4
168,0.007187981605529786,7,permutations,0.22999999999999998,4
112,0.008053603172302247,7,combinations_with_rep,0.22999999999999998,4
196,0.007656753063201904,7,product,0.24,4
168,0.007813022136688233,7,permutations,0.24,4
112,0.008750581741333007,7,combinations_with_rep,0.24,4
196,0.008679049015045166,7,product,0.25,4
168,0.005937898159027099,7,permutations,0.25,4
112,0.008125524520874023,7,combinations_with_rep,0.25,4
256,0.014303410053253173,8,product,0.05,4
224,0.015950803756713868,8,permutations,0.05,4
144,0.01992964506149292,8,combinations_with_rep,0.05,4
256,0.012344574928283692,8,product,0.060000000000000005,4
224,0.012813336849212646,8,permutations,0.060000000000000005,4
144,0.021492395401000976,8,combinations_with_rep,0.060000000000000005,4
256,0.010469446182250977,8,product,0.07,4
224,0.011646971702575684,8,permutations,0.07,4
144,0.013991503715515137,8,combinations_with_rep,0.07,4
256,0.007639012336730957,8,product,0.08,4
224,0.010499699115753174,8,permutations,0.08,4
144,0.015626025199890137,8,combinations_with_rep,0.08,4
256,0.009063098430633545,8,product,0.09,4
224,0.009531877040863036,8,permutations,0.09,4
144,0.011575214862823487,8,combinations_with_rep,0.09,4
256,0.010241250991821289,8,product,0.1,4
224,0.009844403266906738,8,permutations,0.1,4
144,0.010638203620910645,8,combinations_with_rep,0.1,4
256,0.008750574588775635,8,product,0.11,4
224,0.009375622272491455,8,permutations,0.11,4
144,0.006875455379486084,8,combinations_with_rep,0.11,4
256,0.009375627040863038,8,product,0.12000000000000001,4
224,0.009856348037719726,8,permutations,0.12000000000000001,4
144,0.010156917572021484,8,combinations_with_rep,0.12000000000000001,4
256,0.009688146114349365,8,product,0.13,4
144,0.008522233963012694,8,combinations_with_rep,0.16,4
256,0.00883516550064087,8,product,0.16999999999999998,4
224,0.006875455379486084,8,permutations,0.16999999999999998,4
144,0.007969279289245606,8,combinations_with_rep,0.16999999999999998,4
256,0.007969279289245606,8,product,0.18,4
224,0.008750581741333007,8,permutations,0.18,4
144,0.008438050746917725,8,combinations_with_rep,0.18,4
256,0.007356183528900146,8,product,0.19,4
224,0.007500498294830322,8,permutations,0.19,4
144,0.010000662803649902,8,combinations_with_rep,0.19,4
256,0.008834755420684815,8,product,0.2,4
224,0.008053863048553466,8,permutations,0.2,4
144,0.007969276905059814,8,combinations_with_rep,0.2,4
256,0.00875058650970459,8,product,0.21000000000000002,4
224,0.008594322204589843,8,permutations,0.21000000000000002,4
144,0.007187964916229248,8,combinations_with_rep,0.21000000000000002,4
256,0.00890683889389038,8,product,0.22000000000000003,4
224,0.007043662071228027,8,permutations,0.22000000000000003,4
144,0.00875058889389038,8,combinations_with_rep,0.22000000000000003,4
256,0.007500495910644531,8,product,0.22999999999999998,4
224,0.010084831714630127,8,permutations,0.13,4
144,0.010554029941558837,8,combinations_with_rep,0.13,4
256,0.0071879768371582034,8,product,0.14,4
224,0.00812554121017456,8,permutations,0.14,4
144,0.009844398498535157,8,combinations_with_rep,0.14,4
256,0.010156919956207275,8,product,0.15000000000000002,4
224,0.007512443065643311,8,permutations,0.15000000000000002,4
144,0.008281800746917724,8,combinations_with_rep,0.15000000000000002,4
256,0.007656755447387695,8,product,0.16,4
224,0.00812554121017456,8,permutations,0.16,4
224,0.006647112369537353,8,permutations,0.22999999999999998,4
144,0.007897613048553466,8,combinations_with_rep,0.22999999999999998,4
256,0.007813010215759277,8,product,0.24,4
224,0.008594319820404053,8,permutations,0.24,4
144,0.009844396114349365,8,combinations_with_rep,0.24,4
256,0.009219367504119873,8,product,0.25,4
224,0.008293735980987548,8,permutations,0.25,4
144,0.007500498294830322,8,combinations_with_rep,0.25,4
45,0.03281467199325561,3,product,0.05,5
30,0.019249539375305175,3,permutations,0.05,5
30,0.021263904571533203,3,combinations_with_rep,0.05,5
45,0.017501161098480225,3,product,0.060000000000000005,5
30,0.015313518047332764,3,permutations,0.060000000000000005,5
